epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
23,0.065136,0.528662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.334489,0.344913,0.326558,0.42096,0.411429,0.311754,0.334489,0.302486,0.615433,0.891403,0.577778,0.080409,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.82686,0.758691,0.909137,0.778708,0.721583,0.870019,0.82686,0.766102,0.919247,0.967951,0.999387,0.100889,0.084132
24,0.062686,0.528817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.355747,0.35165,0.361465,0.41556,0.437768,0.284292,0.355747,0.324022,0.602227,0.888317,0.577778,0.089591,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.833392,0.767362,0.91245,0.787074,0.729161,0.874634,0.833392,0.77597,0.922217,0.969274,0.998773,0.100131,0.084146
25,0.059979,0.536923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.335676,0.336443,0.33754,0.409211,0.43528,0.286585,0.335676,0.303586,0.601696,0.884529,0.577778,0.088708,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.841356,0.778315,0.916032,0.795909,0.738935,0.881793,0.841356,0.786162,0.926763,0.970916,0.999387,0.099078,0.084139
26,0.056906,0.539862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.342005,0.343071,0.342884,0.496818,0.355067,0.287793,0.342005,0.309031,0.604448,0.889443,0.577778,0.084131,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8504,0.789672,0.921765,0.804791,0.749606,0.886817,0.8504,0.797626,0.930151,0.972709,0.999387,0.098253,0.084132
27,0.055735,0.489543,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.364787,0.371844,0.35983,0.423725,0.45537,0.262972,0.364787,0.325926,0.593076,0.893122,0.577778,0.084478,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.853713,0.794341,0.923115,0.807,0.752893,0.885902,0.853713,0.802877,0.930069,0.973385,0.999387,0.09781,0.084127
28,0.052379,0.481358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.393993,0.394018,0.396385,0.466161,0.413706,0.278214,0.393993,0.35721,0.597642,0.897827,0.577778,0.085765,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.863875,0.807501,0.92916,0.820801,0.768577,0.896281,0.863875,0.814952,0.936247,0.975351,1.0,0.096846,0.084124
29,0.051099,0.511118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.382944,0.373399,0.395246,0.446378,0.45182,0.305145,0.382944,0.347283,0.611203,0.892205,0.577778,0.091036,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.86707,0.812635,0.929693,0.822714,0.772663,0.896563,0.86707,0.820444,0.9368,0.976012,1.0,0.096274,0.084126
30,0.049014,0.525263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.338992,0.341877,0.339765,0.409182,0.435629,0.327498,0.338992,0.303697,0.622511,0.886357,0.577778,0.086771,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.873554,0.820691,0.934099,0.831777,0.780406,0.903729,0.873554,0.828015,0.940974,0.977241,0.999387,0.095808,0.084141
31,0.047196,0.584947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.343237,0.364747,0.326329,0.44398,0.450287,0.265953,0.343237,0.313031,0.595741,0.895477,0.577778,0.076647,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.87785,0.826342,0.936517,0.834365,0.787287,0.903291,0.87785,0.83476,0.941154,0.978079,0.999387,0.095373,0.084138
32,0.045569,0.584145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310575,0.313238,0.309513,0.423774,0.430312,0.257335,0.310575,0.286777,0.588009,0.882381,0.577778,0.086449,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.883102,0.833443,0.939426,0.843928,0.796289,0.910978,0.883102,0.840518,0.945501,0.979071,0.999387,0.09486,0.084129
